Approval (initials),Title,Slug,Status,Parent ID,SKU,Size,Visibility,Side,Product/Part Number,Hip Size,Upper Bar Thickness (mm),Depth (mm),Minimum Calf Size (in),Minimum Ankle Size (in),Length (in.),Length (mm),Minimum Patient Weight (kg),Maximum Patient Weight (kg),Patient Weight (kg),Build Height (inches),Build Height (mm.),Min. Distal Circumference (mm),Max Distal Circumference (mm),Min. Proximal Circumference (mm),Max Proximal Circumference (mm),Weight (oz.),Weight (g),Quantity,Width (in.),Width (mm),Height (in.),Height (mm),Weight Rating (lb.),Weight Limit (lbs.),Mount Height range (mm),Diameter (in.),Diameter (mm),Flexion,Material,Thread,Pyramid (mm),Pyramid Receiver (mm),Tube Clamp (mm),Through Hole,Plate Thickness (mm.),Socket Offset Distance (mm.),Compatible Foot,Categories,Tags,Colors,Attachments / Extras
,AllPro with Posterior Mount,,,2051,137-PM-27-E8,27 cm,visible,,,,,,,,,,102,125,102-113 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,Transtibial,,
,AllPro with Posterior Mount,,,2051,137-PM-27-F9,27 cm,visible,,,,,,,,,,125,150,125-136 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,Transtibial,,
,AllPro with Posterior Mount,,,2051,137-PM-28-C6,28 cm,visible,,,,,,,,,,54,81,54-63 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,Transtibial,,
,AllPro with Posterior Mount,,,2051,137-PM-28-D7,28 cm,visible,,,,,,,,,,82,102,82-90 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,Transtibial,,
,AllPro with Posterior Mount,,,2051,137-PM-28-E8,28 cm,visible,,,,,,,,,,102,125,102-113 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,Transtibial,,
,AllPro with Posterior Mount,,,2051,137-PM-28-F9,28 cm,visible,,,,,,,,,,125,150,125-136 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,Transtibial,,
,AllPro with Posterior Mount,,,2051,137-PM-29-D7,29 cm,visible,,,,,,,,,,64,90,64-72 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,Transtibial,,
,AllPro with Posterior Mount,,,2051,137-PM-29-E8,29 cm,visible,,,,,,,,,,91,113,91-102 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,Transtibial,,
,AllPro with Posterior Mount,,,2051,137-PM-29-F9,29 cm,visible,,,,,,,,,,113,136,113-125 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,Transtibial,,
,AllPro with Posterior Mount,,,2051,137-PM-29-G10,29 cm,visible,,,,,,,,,,137,150,137-150 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,Transtibial,,
,AllPro with Posterior Mount,,,2051,137-PM-30-D7,30 cm,visible,,,,,,,,,,64,90,64-72 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,Transtibial,,
,AllPro with Posterior Mount,,,2051,137-PM-30-E8,30 cm,visible,,,,,,,,,,91,113,91-102 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,Transtibial,,
,AllPro with Posterior Mount,,,2051,137-PM-30-F9,30 cm,visible,,,,,,,,,,113,136,113-125 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,Transtibial,,
,AllPro with Posterior Mount,,,2051,137-PM-30-G10,30 cm,visible,,,,,,,,,,137,150,137-150 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,Transtibial,,
,AllPro with Direct Mount Pyramid,,,2050,137-106-22-3A1,22 cm,visible,,,,,,,,,,23,33,23-33 kg,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",,
,AllPro with Direct Mount Pyramid,,,2050,137-106-22-2A2,22 cm,visible,,,,,,,,,,34,44,34-44 kg,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",,
,AllPro with Direct Mount Pyramid,,,2050,137-106-22-A2,22 cm,visible,,,,,,,,,,45,54,45-54 kg,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",,
,AllPro with Direct Mount Pyramid,,,2050,137-106-22-A3,22 cm,visible,,,,,,,,,,54,63,54-63 kg,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",,
,AllPro with Direct Mount Pyramid,,,2050,137-106-22-B4,22 cm,visible,,,,,,,,,,64,81,64-72 kg,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",,
,AllPro with Direct Mount Pyramid,,,2050,137-106-22-C5,22 cm,visible,,,,,,,,,,82,102,82-90 kg,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",,
,AllPro with Direct Mount Pyramid,,,2050,137-108-22-3A1,22 cm,visible,,,,,,,,,,23,33,23-33 kg,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",,
,AllPro with Direct Mount Pyramid,,,2050,137-108-22-2A2,22 cm,visible,,,,,,,,,,34,44,34-44 kg,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",,
,AllPro with Direct Mount Pyramid,,,2050,137-108-22-A2,22 cm,visible,,,,,,,,,,45,54,45-54 kg,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",,
,AllPro with Direct Mount Pyramid,,,2050,137-108-22-A3,22 cm,visible,,,,,,,,,,54,63,54-63 kg,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",,
,AllPro with Direct Mount Pyramid,,,2050,137-108-22-B4,22 cm,visible,,,,,,,,,,64,81,64-72 kg,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",,
,AllPro with Direct Mount Pyramid,,,2050,137-108-22-C5,22 cm,visible,,,,,,,,,,82,102,82-90 kg,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",,
,AllPro with Direct Mount Pyramid,,,2050,137-110-22-A2,22 cm,visible,,,,,,,,,,45,54,45-54 kg,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",,
,AllPro with Direct Mount Pyramid,,,2050,137-110-22-A3,22 cm,visible,,,,,,,,,,54,63,54-63 kg,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",,
,AllPro with Direct Mount Pyramid,,,2050,137-110-22-B4,22 cm,visible,,,,,,,,,,64,81,64-72 kg,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",,
,AllPro with Direct Mount Pyramid,,,2050,137-110-22-C5,22 cm,visible,,,,,,,,,,82,90,82-90 kg,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",,
,AllPro with Direct Mount Pyramid,,,2050,137-112-22-A2,22 cm,visible,,,,,,,,,,45,54,45-54 kg,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",,
,AllPro with Direct Mount Pyramid,,,2050,137-112-22-A3,22 cm,visible,,,,,,,,,,54,63,54-63 kg,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",,
,AllPro with Direct Mount Pyramid,,,2050,137-112-22-B4,22 cm,visible,,,,,,,,,,64,81,64-72 kg,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",,
,AllPro with Direct Mount Pyramid,,,2050,137-112-22-C5,22 cm,visible,,,,,,,,,,82,102,82-90 kg,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",,
,AllPro with Direct Mount Pyramid,,,2050,137-106-23-3A1,23 cm,visible,,,,,,,,,,23,33,23-33 kg,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",,
,AllPro with Direct Mount Pyramid,,,2050,137-106-23-2A2,23 cm,visible,,,,,,,,,,34,44,34-44 kg,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",,
,AllPro with Direct Mount Pyramid,,,2050,137-106-23-A2,23 cm,visible,,,,,,,,,,45,54,45-54 kg,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",,
,AllPro with Direct Mount Pyramid,,,2050,137-106-23-A3,23 cm,visible,,,,,,,,,,54,63,54-63 kg,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",,
,AllPro with Direct Mount Pyramid,,,2050,137-106-23-B4,23 cm,visible,,,,,,,,,,64,81,64-72 kg,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",,
,AllPro with Direct Mount Pyramid,,,2050,137-106-23-C5,23 cm,visible,,,,,,,,,,82,102,82-90 kg,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",,
,AllPro with Direct Mount Pyramid,,,2050,137-108-23-3A1,23 cm,visible,,,,,,,,,,23,33,23-33 kg,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",,
,AllPro with Direct Mount Pyramid,,,2050,137-108-23-2A2,23 cm,visible,,,,,,,,,,34,44,34-44 kg,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",,
,AllPro with Direct Mount Pyramid,,,2050,137-108-23-A2,23 cm,visible,,,,,,,,,,45,54,45-54 kg,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",,
,AllPro with Direct Mount Pyramid,,,2050,137-108-23-A3,23 cm,visible,,,,,,,,,,54,63,54-63 kg,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",,
,AllPro with Direct Mount Pyramid,,,2050,137-108-23-B4,23 cm,visible,,,,,,,,,,64,81,64-72 kg,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",,
,AllPro with Direct Mount Pyramid,,,2050,137-108-23-C5,23 cm,visible,,,,,,,,,,82,102,82-90 kg,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",,
,AllPro with Direct Mount Pyramid,,,2050,137-110-23-A2,23 cm,visible,,,,,,,,,,45,54,45-54 kg,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",,
,AllPro with Direct Mount Pyramid,,,2050,137-110-23-A3,23 cm,visible,,,,,,,,,,54,63,54-63 kg,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",,
,AllPro with Direct Mount Pyramid,,,2050,137-110-23-B4,23 cm,visible,,,,,,,,,,64,81,64-72 kg,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",,
,AllPro with Direct Mount Pyramid,,,2050,137-110-23-C5,23 cm,visible,,,,,,,,,,82,102,82-90 kg,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",,
,AllPro with Direct Mount Pyramid,,,2050,137-112-23-A2,23 cm,visible,,,,,,,,,,45,54,45-54 kg,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",,
,AllPro with Direct Mount Pyramid,,,2050,137-112-23-A3,23 cm,visible,,,,,,,,,,54,63,54-63 kg,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",,
,AllPro with Direct Mount Pyramid,,,2050,137-112-23-B4,23 cm,visible,,,,,,,,,,64,81,64-72 kg,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",,
,AllPro with Direct Mount Pyramid,,,2050,137-112-23-C5,23 cm,visible,,,,,,,,,,82,102,82-90 kg,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",,
,AllPro with Direct Mount Pyramid,,,2050,137-106-24-3A1,24 cm,visible,,,,,,,,,,23,33,23-33 kg,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",,
,AllPro with Direct Mount Pyramid,,,2050,137-106-24-2A2,24 cm,visible,,,,,,,,,,34,44,34-44 kg,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",,
,AllPro with Direct Mount Pyramid,,,2050,137-106-24-A2,24 cm,visible,,,,,,,,,,45,54,45-54 kg,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",,
,AllPro with Direct Mount Pyramid,,,2050,137-106-24-A3,24 cm,visible,,,,,,,,,,54,63,54-63 kg,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",,
,AllPro with Direct Mount Pyramid,,,2050,137-106-24-B4,24 cm,visible,,,,,,,,,,64,81,64-72 kg,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",,
,AllPro with Direct Mount Pyramid,,,2050,137-106-24-C5,24 cm,visible,,,,,,,,,,82,102,82-90 kg,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",,
,AllPro with Direct Mount Pyramid,,,2050,137-108-24-3A1,24 cm,visible,,,,,,,,,,23,33,23-33 kg,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",,
,AllPro with Direct Mount Pyramid,,,2050,137-108-24-2A2,24 cm,visible,,,,,,,,,,34,44,34-44 kg,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",,
,AllPro with Direct Mount Pyramid,,,2050,137-108-24-A2,24 cm,visible,,,,,,,,,,45,54,45-54 kg,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",,
,AllPro with Direct Mount Pyramid,,,2050,137-108-24-A3,24 cm,visible,,,,,,,,,,54,63,54-63 kg,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",,
,AllPro with Direct Mount Pyramid,,,2050,137-108-24-B4,24 cm,visible,,,,,,,,,,64,81,64-72 kg,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",,
,AllPro with Direct Mount Pyramid,,,2050,137-108-24-C5,24 cm,visible,,,,,,,,,,82,102,82-90 kg,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",,
,AllPro with Direct Mount Pyramid,,,2050,137-110-24-A2,24 cm,visible,,,,,,,,,,45,54,45-54 kg,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",,
,AllPro with Direct Mount Pyramid,,,2050,137-110-24-A3,24 cm,visible,,,,,,,,,,54,63,54-63 kg,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",,
,AllPro with Direct Mount Pyramid,,,2050,137-110-24-B4,24 cm,visible,,,,,,,,,,64,81,64-72 kg,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",,
,AllPro with Direct Mount Pyramid,,,2050,137-110-24-C5,24 cm,visible,,,,,,,,,,82,102,82-90 kg,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",,
,AllPro with Direct Mount Pyramid,,,2050,137-112-24-A2,24 cm,visible,,,,,,,,,,45,54,45-54 kg,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",,
,AllPro with Direct Mount Pyramid,,,2050,137-112-24-A3,24 cm,visible,,,,,,,,,,54,63,54-63 kg,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",,
,AllPro with Direct Mount Pyramid,,,2050,137-112-24-B4,24 cm,visible,,,,,,,,,,64,81,64-72 kg,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",,
,AllPro with Direct Mount Pyramid,,,2050,137-112-24-C5,24 cm,visible,,,,,,,,,,82,102,82-90 kg,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",,
,AllPro with Direct Mount Pyramid,,,2050,137-106-25-B4,25 cm,visible,,,,,,,,,,45,72,45-54 kg,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",,
,AllPro with Direct Mount Pyramid,,,2050,137-106-25-C5,25 cm,visible,,,,,,,,,,73,90,73-81 kg,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",,
,AllPro with Direct Mount Pyramid,,,2050,137-106-25-D6,25 cm,visible,,,,,,,,,,91,113,91-102 kg,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",,
,AllPro with Direct Mount Pyramid,,,2050,137-106-25-E7,25 cm,visible,,,,,,,,,,113,136,113-125 kg,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",,
,AllPro with Direct Mount Pyramid,,,2050,137-106-25-F9,25 cm,visible,,,,,,,,,,137,150,137-150 kg,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",,
,AllPro with Direct Mount Pyramid,,,2050,137-108-25-B4,25 cm,visible,,,,,,,,,,45,72,45-54 kg,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",,
,AllPro with Direct Mount Pyramid,,,2050,137-108-25-C5,25 cm,visible,,,,,,,,,,73,90,73-81 kg,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",,
,AllPro with Direct Mount Pyramid,,,2050,137-108-25-D6,25 cm,visible,,,,,,,,,,91,113,91-102 kg,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",,
,AllPro with Direct Mount Pyramid,,,2050,137-108-25-E7,25 cm,visible,,,,,,,,,,113,136,113-125 kg,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",,
,AllPro with Direct Mount Pyramid,,,2050,137-108-25-F9,25 cm,visible,,,,,,,,,,137,150,137-150 kg,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",,
,AllPro with Direct Mount Pyramid,,,2050,137-110-25-B4,25 cm,visible,,,,,,,,,,45,54,45-54 kg,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",,
,AllPro with Direct Mount Pyramid,,,2050,137-110-25-C5,25 cm,visible,,,,,,,,,,73,90,73-81 kg,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",,
,AllPro with Direct Mount Pyramid,,,2050,137-110-25-D6,25 cm,visible,,,,,,,,,,91,113,91-102 kg,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Extremity Prosthetics > Feet,"Transtibial, Transfemoral",,
